EventID	Timestamp	NodeID	Location	EventType	Temperature_C	Humidity_pct	Wind_kmh	Vibration_g	PoissonLambda	PoissonK	PoissonProbability	Magnitude
EVT-487194	2026-06-03T19:02:55.213599600	NODE-038	Göksu Deltasý	Kaya Titreþimi	22,78	65	10	0,0821	0,5	29	0	0,56
EVT-557889	2026-06-03T19:02:55.213599600	NODE-037	Silifke Batý	Mikro Heyelan	22,22	65	10	0,1506	0,5	29	0	0,6109
EVT-247489	2026-06-03T19:02:55.213599600	NODE-025	Bozyazý	Þiddetli Rüzgar	22,71	65	10	0,1087	0,5	29	0	0,7841
EVT-989919	2026-06-03T19:02:55.213599600	NODE-014	Viraj Bölgesi	Düþük Görüþ	23,81	65	10	0,7214	0,5	29	0	0,5137
EVT-677927	2026-06-03T19:02:55.213599600	NODE-013	Karakabaklar	Kaya Titreþimi	22,23	65	10	0,5887	0,5	29	0	0,9789
EVT-625290	2026-06-03T19:02:55.213599600	NODE-011	Kayalýk Bölge	Ani Yaðýþ	23,1	65	10	0,5629	0,5	29	0	0,5492
EVT-810138	2026-06-03T19:02:55.213599600	NODE-010	Uçurum Noktasý	Mikro Heyelan	21,96	65	10	0,9584	0,5	29	0	0,8904
EVT-727511	2026-06-03T19:02:55.213599600	NODE-003	Koru Burnu	Kaya Titreþimi	23,52	65	10	0,5471	0,5	29	0	0,6186
EVT-923115	2026-06-03T19:02:55.213599600	NODE-002	Alanya-Gazipaþa	Þiddetli Rüzgar	23,78	65	10	0,1272	0,5	29	0	0,515
EVT-797261	2026-06-03T19:02:55.210098500	NODE-001	Alanya Doðu	Düþük Görüþ	22,68	65	10	0,1555	0,5	29	0	0,527
EVT-113844	2026-06-03T19:02:47.222277	NODE-045	Silifke Virajý	Kaya Titreþimi	23,39	65	10	0,5887	0,5	19	0	0,6581
EVT-365416	2026-06-03T19:02:47.222277	NODE-035	Yeniyurt	Þiddetli Rüzgar	22,79	65	10	0,2336	0,5	19	0	0,8887
EVT-193060	2026-06-03T19:02:47.222277	NODE-034	Kritik Viraj	Mikro Heyelan	24,78	65	10	0,8904	0,5	19	0	0,981
EVT-851341	2026-06-03T19:02:47.222277	NODE-033	Uçurum Bölgesi	Mikro Heyelan	23,8	65	10	0,6645	0,5	19	0	0,6998
EVT-837729	2026-06-03T19:02:47.222277	NODE-022	Boðaz Geçidi	Kaya Titreþimi	23	65	10	1,0554	0,5	19	0	0,4429
EVT-961627	2026-06-03T19:02:47.222277	NODE-021	Ýskele Bölgesi	Ani Yaðýþ	22,71	65	10	0,1043	0,5	19	0	0,7497
EVT-541450	2026-06-03T19:02:47.222277	NODE-016	Ören	Ani Yaðýþ	24,33	65	10	0,1232	0,5	19	0	0,955
EVT-635117	2026-06-03T19:02:47.222277	NODE-015	Kýyý Yolu	Þiddetli Rüzgar	23,49	65	10	0,124	0,5	19	0	0,7793
EVT-005107	2026-06-03T19:02:47.222277	NODE-014	Viraj Bölgesi	Mikro Heyelan	24,66	65	10	0,8449	0,5	19	0	0,7864
EVT-893356	2026-06-03T19:02:47.222277	NODE-008	Gazipaþa	Sis Yoðunlaþmasý	24,82	65	10	0,0439	0,5	19	0	0,7613
EVT-834518	2026-06-03T19:02:39.220800600	NODE-044	Bozyazý Kritik	Mikro Heyelan	24,53	65	10	0,8682	0,5	21	0	0,5763
EVT-941617	2026-06-03T19:02:39.220800600	NODE-042	Alanya Uçurum	Kaya Titreþimi	22,31	65	10	0,7649	0,5	21	0	0,8958
EVT-031862	2026-06-03T19:02:39.220800600	NODE-034	Kritik Viraj	Kaya Titreþimi	22,55	65	10	0,4529	0,5	21	0	0,6223
EVT-935053	2026-06-03T19:02:39.220800600	NODE-033	Uçurum Bölgesi	Kaya Titreþimi	24,07	65	10	0,7501	0,5	21	0	0,414
EVT-606847	2026-06-03T19:02:39.220800600	NODE-032	Kaya Kütlesi	Kaya Titreþimi	23,33	65	10	0,6837	0,5	21	0	0,6151
EVT-415452	2026-06-03T19:02:39.220800600	NODE-021	Ýskele Bölgesi	Sis Yoðunlaþmasý	23,9	65	10	0,0135	0,5	21	0	0,644
EVT-876676	2026-06-03T19:02:39.220800600	NODE-020	Anamur Tünel	Düþük Görüþ	23,25	65	10	0,0964	0,5	21	0	0,7841
EVT-609135	2026-06-03T19:02:39.220800600	NODE-018	Anamur Batý	Sis Yoðunlaþmasý	24,61	65	10	0,1205	0,5	21	0	0,5701
EVT-784630	2026-06-03T19:02:39.220800600	NODE-005	Yüksek Viraj	Mikro Heyelan	22,39	65	10	0,8266	0,5	21	0	0,8658
EVT-343268	2026-06-03T19:02:39.220800600	NODE-004	Kaledran	Ani Yaðýþ	24,77	65	10	0,9763	0,5	21	0	0,6502
EVT-141121	2026-06-03T19:02:39.220800600	NODE-003	Koru Burnu	Kaya Titreþimi	24,42	65	10	0,8014	0,5	21	0	0,9283
EVT-735156	2026-06-03T19:02:39.220800600	NODE-002	Alanya-Gazipaþa	Þiddetli Rüzgar	23,4	65	10	0,1623	0,5	21	0	0,9389
EVT-950423	2026-06-03T19:02:39.218447	NODE-001	Alanya Doðu	Düþük Görüþ	24,02	65	10	0,1455	0,5	21	0	0,8288
EVT-287814	2026-06-03T19:02:31.221784800	NODE-042	Alanya Uçurum	Kaya Titreþimi	23,2	65	10	0,7392	0,5	26	0	0,6736
EVT-073098	2026-06-03T19:02:31.221784800	NODE-029	Aydýncýk Batý	Düþük Görüþ	22,18	65	10	0,1033	0,5	26	0	0,5479
EVT-181198	2026-06-03T19:02:31.221784800	NODE-016	Ören	Sis Yoðunlaþmasý	24,71	65	10	0,1605	0,5	26	0	0,6663
EVT-402889	2026-06-03T19:02:31.221784800	NODE-015	Kýyý Yolu	Þiddetli Rüzgar	24,78	65	10	0,2141	0,5	26	0	0,8026
EVT-615558	2026-06-03T19:02:31.221784800	NODE-014	Viraj Bölgesi	Mikro Heyelan	23,53	65	10	1,1323	0,5	26	0	0,5146
EVT-590483	2026-06-03T19:02:31.221784800	NODE-006	Kýyý Kesiði	Ani Yaðýþ	23,37	65	10	0,1192	0,5	26	0	0,6577
EVT-528849	2026-06-03T19:02:31.221784800	NODE-005	Yüksek Viraj	Ani Yaðýþ	22,36	65	10	0,5951	0,5	26	0	0,9035
EVT-131263	2026-06-03T19:02:31.221784800	NODE-004	Kaledran	Kaya Titreþimi	22,28	65	10	0,4713	0,5	26	0	0,5109
EVT-500037	2026-06-03T19:02:31.221784800	NODE-003	Koru Burnu	Kaya Titreþimi	22,69	65	10	0,7599	0,5	26	0	0,46
EVT-619376	2026-06-03T19:02:23.215088900	NODE-036	Limonlu	Düþük Görüþ	23,53	65	10	0,162	0,5	19	0	0,5802
EVT-656945	2026-06-03T19:02:23.215088900	NODE-027	Hacýkýrý	Ani Yaðýþ	22,46	65	10	0,033	0,5	19	0	0,8993
EVT-738196	2026-06-03T19:02:23.215088900	NODE-026	Bozyazý Doðu	Sis Yoðunlaþmasý	22,93	65	10	0,0581	0,5	19	0	0,6351
EVT-695873	2026-06-03T19:02:23.215088900	NODE-021	Ýskele Bölgesi	Mikro Heyelan	23,76	65	10	0,0237	0,5	19	0	0,8469
EVT-536381	2026-06-03T19:02:23.215088900	NODE-005	Yüksek Viraj	Ani Yaðýþ	23,94	65	10	0,8578	0,5	19	0	0,655
EVT-650341	2026-06-03T19:02:15.218031600	NODE-043	Kayalýk Tepe	Mikro Heyelan	22,09	65	10	0,9564	0,5	24	0	0,7329
EVT-720816	2026-06-03T19:02:15.218031600	NODE-016	Ören	Þiddetli Rüzgar	24,28	65	10	0,1977	0,5	24	0	0,7123
EVT-782999	2026-06-03T19:02:15.218031600	NODE-015	Kýyý Yolu	Kaya Titreþimi	23,23	65	10	0,1385	0,5	24	0	0,5703
EVT-731166	2026-06-03T19:02:15.218031600	NODE-014	Viraj Bölgesi	Mikro Heyelan	23,39	65	10	0,5508	0,5	24	0	0,8296
EVT-421833	2026-06-03T19:02:15.218031600	NODE-012	Sarýsu	Sis Yoðunlaþmasý	22,14	65	10	0,1493	0,5	24	0	0,4682
EVT-899353	2026-06-03T19:02:15.218031600	NODE-011	Kayalýk Bölge	Kaya Titreþimi	22,9	65	10	0,5795	0,5	24	0	0,9933
EVT-648009	2026-06-03T19:02:15.218031600	NODE-010	Uçurum Noktasý	Kaya Titreþimi	23,92	65	10	0,894	0,5	24	0	0,9977
EVT-348129	2026-06-03T19:02:15.218031600	NODE-007	Gazipaþa Batý	Mikro Heyelan	24,81	65	10	0,0695	0,5	24	0	0,7723
EVT-958743	2026-06-03T19:02:07.225764	NODE-044	Bozyazý Kritik	Düþük Görüþ	24,53	65	10	0,5749	0,5	33	0	0,6739
EVT-596609	2026-06-03T19:02:07.225764	NODE-044	Bozyazý Kritik	Kaya Titreþimi	22,32	65	10	0,5749	0,5	33	0	0,8292
EVT-570040	2026-06-03T19:02:07.225764	NODE-028	Kýyý Kesiði-2	Þiddetli Rüzgar	23,97	65	10	0,2196	0,5	33	0	0,5858
EVT-901445	2026-06-03T19:02:07.225764	NODE-027	Hacýkýrý	Kaya Titreþimi	23,19	65	10	0,0715	0,5	33	0	0,569
EVT-479996	2026-06-03T19:02:07.225764	NODE-026	Bozyazý Doðu	Kaygan Yol	24,02	65	10	0,0774	0,5	33	0	0,5059
EVT-867972	2026-06-03T19:02:07.225764	NODE-018	Anamur Batý	Ani Yaðýþ	22,16	65	10	0,0692	0,5	33	0	0,7812
EVT-115861	2026-06-03T19:02:07.225764	NODE-017	Yenipazar	Düþük Görüþ	22,17	65	10	0,2327	0,5	33	0	0,521
EVT-711938	2026-06-03T19:01:59.215163700	NODE-045	Silifke Virajý	Ani Yaðýþ	22,59	65	10	0,4986	0,5	33	0	0,4353
EVT-652788	2026-06-03T19:01:59.215163700	NODE-043	Kayalýk Tepe	Ani Yaðýþ	23,62	65	10	0,6079	0,5	33	0	0,6934
EVT-242260	2026-06-03T19:01:59.215163700	NODE-043	Kayalýk Tepe	Düþük Görüþ	22,78	65	10	0,6079	0,5	33	0	0,5064
EVT-622829	2026-06-03T19:01:59.215163700	NODE-035	Yeniyurt	Þiddetli Rüzgar	22,37	65	10	0,0292	0,5	33	0	0,9229
EVT-200268	2026-06-03T19:01:59.215163700	NODE-034	Kritik Viraj	Kaya Titreþimi	24,4	65	10	1,0825	0,5	33	0	0,7873
EVT-861146	2026-06-03T19:01:59.215163700	NODE-034	Kritik Viraj	Kaya Titreþimi	23,81	65	10	1,0825	0,5	33	0	0,6167
EVT-524083	2026-06-03T19:01:59.215163700	NODE-033	Uçurum Bölgesi	Þiddetli Rüzgar	24,34	65	10	0,4709	0,5	33	0	0,7873
EVT-761277	2026-06-03T19:01:59.215163700	NODE-032	Kaya Kütlesi	Kaya Titreþimi	22,39	65	10	0,4188	0,5	33	0	0,5645
EVT-480539	2026-06-03T19:01:59.215163700	NODE-028	Kýyý Kesiði-2	Kaya Titreþimi	23,11	65	10	0,1784	0,5	33	0	0,8667
EVT-597322	2026-06-03T19:01:59.215163700	NODE-027	Hacýkýrý	Sis Yoðunlaþmasý	23,04	65	10	0,1003	0,5	33	0	0,7949
EVT-564816	2026-06-03T19:01:59.215163700	NODE-024	Bozyazý Batý	Mikro Heyelan	23,56	65	10	0,0749	0,5	33	0	0,4199
EVT-845982	2026-06-03T19:01:59.215163700	NODE-023	Yüksek Kýyý	Ani Yaðýþ	22,67	65	10	1,1313	0,5	33	0	0,669
EVT-473546	2026-06-03T19:01:59.215163700	NODE-012	Sarýsu	Kaya Titreþimi	22,29	65	10	0,2132	0,5	33	0	0,5191
EVT-456544	2026-06-03T19:01:59.215163700	NODE-011	Kayalýk Bölge	Þiddetli Rüzgar	23,64	65	10	0,9198	0,5	33	0	0,532
EVT-707663	2026-06-03T19:01:59.215163700	NODE-011	Kayalýk Bölge	Ani Yaðýþ	22,66	65	10	0,9198	0,5	33	0	0,8736
EVT-645072	2026-06-03T19:01:59.215163700	NODE-010	Uçurum Noktasý	Mikro Heyelan	22,95	65	10	0,5135	0,5	33	0	0,7447
EVT-780070	2026-06-03T19:01:59.215163700	NODE-010	Uçurum Noktasý	Þiddetli Rüzgar	22,51	65	10	0,5135	0,5	33	0	0,4643
EVT-902379	2026-06-03T19:01:59.215163700	NODE-008	Gazipaþa	Þiddetli Rüzgar	22,1	65	10	0,1657	0,5	33	0	0,9942
EVT-787647	2026-06-03T19:01:51.220809200	NODE-042	Alanya Uçurum	Düþük Görüþ	24,51	65	10	0,8494	0,5	25	0	0,6759
EVT-630614	2026-06-03T19:01:51.220809200	NODE-034	Kritik Viraj	Kaya Titreþimi	24,43	65	10	0,8741	0,5	25	0	0,6114
EVT-437782	2026-06-03T19:01:51.220809200	NODE-033	Uçurum Bölgesi	Þiddetli Rüzgar	24,26	65	10	1,0363	0,5	25	0	0,8844
EVT-652547	2026-06-03T19:01:51.220809200	NODE-032	Kaya Kütlesi	Düþük Görüþ	23,49	65	10	0,7413	0,5	25	0	0,804
EVT-687253	2026-06-03T19:01:51.220809200	NODE-028	Kýyý Kesiði-2	Kaya Titreþimi	24,07	65	10	0,153	0,5	25	0	0,9564
EVT-736966	2026-06-03T19:01:51.220809200	NODE-027	Hacýkýrý	Düþük Görüþ	23,63	65	10	0,1183	0,5	25	0	0,7631
EVT-290066	2026-06-03T19:01:51.220809200	NODE-026	Bozyazý Doðu	Kaya Titreþimi	22,86	65	10	0,1266	0,5	25	0	0,7855
EVT-040448	2026-06-03T19:01:51.220809200	NODE-018	Anamur Batý	Kaygan Yol	23,22	65	10	0,0956	0,5	25	0	0,9488
EVT-958294	2026-06-03T19:01:51.220809200	NODE-017	Yenipazar	Sis Yoðunlaþmasý	23,55	65	10	0,0897	0,5	25	0	0,5136
EVT-110609	2026-06-03T19:01:51.220809200	NODE-016	Ören	Düþük Görüþ	23,63	65	10	0,1203	0,5	25	0	0,9911
EVT-179920	2026-06-03T19:01:51.220809200	NODE-010	Uçurum Noktasý	Ani Yaðýþ	22,85	65	10	0,4324	0,5	25	0	0,7656
EVT-988823	2026-06-03T19:01:51.220809200	NODE-008	Gazipaþa	Ani Yaðýþ	22,81	65	10	0,0895	0,5	25	0	0,806
EVT-204519	2026-06-03T19:01:51.220809200	NODE-004	Kaledran	Kaya Titreþimi	22,11	65	10	0,9263	0,5	25	0	0,5393
EVT-516023	2026-06-03T19:01:51.220809200	NODE-003	Koru Burnu	Kaya Titreþimi	23,33	65	10	0,6256	0,5	25	0	0,5678
EVT-470907	2026-06-03T19:01:51.220809200	NODE-002	Alanya-Gazipaþa	Þiddetli Rüzgar	24,85	65	10	0,0407	0,5	25	0	0,5341
EVT-603102	2026-06-03T19:01:51.218110200	NODE-001	Alanya Doðu	Kaygan Yol	24,77	65	10	0,0579	0,5	25	0	0,582
EVT-843579	2026-06-03T19:01:51.218110200	NODE-001	Alanya Doðu	Mikro Heyelan	23,66	65	10	0,0579	0,5	25	0	0,7467
EVT-314025	2026-06-03T19:01:43.222310700	NODE-041	Silifke	Sis Yoðunlaþmasý	23,74	65	10	0,1237	0,5	21	0	0,462
EVT-159175	2026-06-03T19:01:43.222310700	NODE-040	Taþucu	Þiddetli Rüzgar	22,57	65	10	0,1669	0,5	21	0	0,594
EVT-200225	2026-06-03T19:01:43.222310700	NODE-039	Silifke Yakýný	Þiddetli Rüzgar	23,77	65	10	0,0882	0,5	21	0	0,8549
EVT-454242	2026-06-03T19:01:43.222310700	NODE-038	Göksu Deltasý	Ani Yaðýþ	22,08	65	10	0,1571	0,5	21	0	0,7114
EVT-004001	2026-06-03T19:01:43.222310700	NODE-028	Kýyý Kesiði-2	Ani Yaðýþ	24,35	65	10	0,0724	0,5	21	0	0,8173
EVT-085714	2026-06-03T19:01:43.222310700	NODE-027	Hacýkýrý	Kaygan Yol	22,09	65	10	0,1564	0,5	21	0	0,7021
EVT-020890	2026-06-03T19:01:43.222310700	NODE-019	Anamur	Ani Yaðýþ	24,43	65	10	0,2361	0,5	21	0	0,7965
EVT-762072	2026-06-03T19:01:35.214653600	NODE-045	Silifke Virajý	Mikro Heyelan	22,8	65	10	0,5431	0,5	20	0	0,9327
EVT-198915	2026-06-03T19:01:35.214653600	NODE-043	Kayalýk Tepe	Düþük Görüþ	24,52	65	10	0,8294	0,5	20	0	0,485
EVT-991624	2026-06-03T19:01:35.214653600	NODE-041	Silifke	Ani Yaðýþ	22,06	65	10	0,038	0,5	20	0	0,8698
EVT-637294	2026-06-03T19:01:35.214653600	NODE-034	Kritik Viraj	Þiddetli Rüzgar	22,17	65	10	0,3067	0,5	20	0	0,4258
EVT-300119	2026-06-03T19:01:35.214653600	NODE-033	Uçurum Bölgesi	Kaya Titreþimi	21,95	65	10	0,9608	0,5	20	0	0,6708
EVT-963129	2026-06-03T19:01:35.214653600	NODE-019	Anamur	Þiddetli Rüzgar	23,48	65	10	0,1339	0,5	20	0	0,7506
EVT-434139	2026-06-03T19:01:35.214653600	NODE-013	Karakabaklar	Kaya Titreþimi	24,86	65	10	0,7686	0,5	20	0	0,9629
EVT-241797	2026-06-03T19:01:35.214653600	NODE-012	Sarýsu	Kaygan Yol	22,3	65	10	0,0319	0,5	20	0	0,5201
EVT-928813	2026-06-03T19:01:35.214653600	NODE-011	Kayalýk Bölge	Kaya Titreþimi	22,6	65	10	0,7514	0,5	20	0	0,8046
EVT-278747	2026-06-03T19:01:27.214696900	NODE-042	Alanya Uçurum	Þiddetli Rüzgar	23,48	65	10	0,732	0,5	21	0	0,9387
EVT-382066	2026-06-03T19:01:27.214696900	NODE-041	Silifke	Þiddetli Rüzgar	22,24	65	10	0,0882	0,5	21	0	0,7919
EVT-473077	2026-06-03T19:01:27.214696900	NODE-037	Silifke Batý	Kaygan Yol	24,19	65	10	0,1238	0,5	21	0	0,7765
EVT-268549	2026-06-03T19:01:27.214696900	NODE-036	Limonlu	Sis Yoðunlaþmasý	24,11	65	10	0,1475	0,5	21	0	0,7869
EVT-595433	2026-06-03T19:01:27.214696900	NODE-035	Yeniyurt	Þiddetli Rüzgar	22,18	65	10	0,2203	0,5	21	0	0,9202
EVT-489629	2026-06-03T19:01:27.214696900	NODE-007	Gazipaþa Batý	Mikro Heyelan	22,35	65	10	0,0761	0,5	21	0	0,5674
EVT-503808	2026-06-03T19:01:27.214696900	NODE-006	Kýyý Kesiði	Düþük Görüþ	23,34	65	10	0,0639	0,5	21	0	0,875
EVT-869309	2026-06-03T19:01:27.214696900	NODE-005	Yüksek Viraj	Düþük Görüþ	23,21	65	10	0,7294	0,5	21	0	0,6534
EVT-122413	2026-06-03T19:01:27.214696900	NODE-004	Kaledran	Ani Yaðýþ	23,41	65	10	0,7425	0,5	21	0	0,4753
EVT-414155	2026-06-03T19:01:27.214696900	NODE-003	Koru Burnu	Mikro Heyelan	23,47	65	10	0,9067	0,5	21	0	0,7188
EVT-284309	2026-06-03T19:01:19.224800700	NODE-045	Silifke Virajý	Kaya Titreþimi	22,46	65	10	1,0724	0,5	26	0	0,649
EVT-827034	2026-06-03T19:01:19.224800700	NODE-034	Kritik Viraj	Kaya Titreþimi	21,94	65	10	1,0212	0,5	26	0	0,9614
EVT-144145	2026-06-03T19:01:19.221361800	NODE-032	Kaya Kütlesi	Kaya Titreþimi	22,54	65	10	1,1088	0,5	26	0	0,9928
EVT-823631	2026-06-03T19:01:19.221361800	NODE-031	Aydýncýk Doðu	Ani Yaðýþ	23,87	65	10	0,0607	0,5	26	0	0,9396
EVT-117561	2026-06-03T19:01:11.224260500	NODE-045	Silifke Virajý	Kaya Titreþimi	23,97	65	10	0,5445	0,5	22	0	0,4163
EVT-727362	2026-06-03T19:01:11.224260500	NODE-034	Kritik Viraj	Kaya Titreþimi	23,73	65	10	0,6429	0,5	22	0	0,8968
EVT-231738	2026-06-03T19:01:11.224260500	NODE-033	Uçurum Bölgesi	Kaya Titreþimi	22,26	65	10	0,581	0,5	22	0	0,9054
EVT-242035	2026-06-03T19:01:11.224260500	NODE-032	Kaya Kütlesi	Mikro Heyelan	23,91	65	10	0,93	0,5	22	0	0,938
EVT-236468	2026-06-03T19:01:11.224260500	NODE-030	Aydýncýk	Sis Yoðunlaþmasý	22	65	10	0,1505	0,5	22	0	0,8662
EVT-933651	2026-06-03T19:01:11.224260500	NODE-003	Koru Burnu	Ani Yaðýþ	22,84	65	10	0,5827	0,5	22	0	0,6019
EVT-264200	2026-06-03T19:01:03.212334	NODE-032	Kaya Kütlesi	Düþük Görüþ	24,83	65	10	0,403	0,5	24	0	0,9735
EVT-855198	2026-06-03T19:01:03.212334	NODE-031	Aydýncýk Doðu	Düþük Görüþ	23,38	65	10	0,0614	0,5	24	0	0,7241
EVT-446961	2026-06-03T19:01:03.212334	NODE-029	Aydýncýk Batý	Kaya Titreþimi	22,87	65	10	0,1683	0,5	24	0	0,9297
EVT-400187	2026-06-03T19:01:03.212334	NODE-023	Yüksek Kýyý	Düþük Görüþ	24,12	65	10	0,5732	0,5	24	0	0,6214
EVT-987453	2026-06-03T19:01:03.212334	NODE-022	Boðaz Geçidi	Mikro Heyelan	22,34	65	10	1,0208	0,5	24	0	0,6378
EVT-566737	2026-06-03T19:01:03.212334	NODE-008	Gazipaþa	Sis Yoðunlaþmasý	22,56	65	10	0,1446	0,5	24	0	0,7651
EVT-022364	2026-06-03T19:00:55.219835900	NODE-042	Alanya Uçurum	Düþük Görüþ	24,11	65	10	0,6687	0,5	22	0	0,7931
EVT-357969	2026-06-03T19:00:55.219835900	NODE-033	Uçurum Bölgesi	Düþük Görüþ	23,02	65	10	1,0106	0,5	22	0	0,6673
EVT-516133	2026-06-03T19:00:55.219835900	NODE-032	Kaya Kütlesi	Ani Yaðýþ	24,76	65	10	0,7602	0,5	22	0	0,5586
EVT-438655	2026-06-03T19:00:55.219835900	NODE-019	Anamur	Kaygan Yol	23,52	65	10	0,061	0,5	22	0	0,582
EVT-166755	2026-06-03T19:00:55.219835900	NODE-007	Gazipaþa Batý	Düþük Görüþ	24,26	65	10	0,1222	0,5	22	0	0,8341
EVT-469343	2026-06-03T19:00:55.219835900	NODE-006	Kýyý Kesiði	Mikro Heyelan	22,49	65	10	0,1878	0,5	22	0	0,4357
EVT-068666	2026-06-03T19:00:55.219835900	NODE-005	Yüksek Viraj	Þiddetli Rüzgar	24,61	65	10	0,6988	0,5	22	0	0,7592
EVT-205345	2026-06-03T19:00:55.219835900	NODE-003	Koru Burnu	Düþük Görüþ	22,61	65	10	0,429	0,5	22	0	0,9491
EVT-565173	2026-06-03T19:00:47.215462400	NODE-044	Bozyazý Kritik	Þiddetli Rüzgar	24,29	65	10	1,0791	0,5	28	0	0,978
EVT-059751	2026-06-03T19:00:47.215462400	NODE-042	Alanya Uçurum	Kaya Titreþimi	24,33	65	10	0,7305	0,5	28	0	0,599
EVT-507991	2026-06-03T19:00:47.215462400	NODE-032	Kaya Kütlesi	Kaya Titreþimi	21,92	65	10	0,759	0,5	28	0	0,4731
EVT-414987	2026-06-03T19:00:47.215462400	NODE-019	Anamur	Kaya Titreþimi	24,81	65	10	0,2426	0,5	28	0	0,9857
EVT-499631	2026-06-03T19:00:47.215462400	NODE-005	Yüksek Viraj	Düþük Görüþ	24,27	65	10	0,442	0,5	28	0	0,7798
EVT-772930	2026-06-03T19:00:47.215462400	NODE-004	Kaledran	Ani Yaðýþ	23,18	65	10	0,953	0,5	28	0	0,7189
EVT-609632	2026-06-03T19:00:47.215462400	NODE-003	Koru Burnu	Düþük Görüþ	22,52	65	10	0,87	0,5	28	0	0,6811
EVT-116642	2026-06-03T19:00:47.215462400	NODE-002	Alanya-Gazipaþa	Mikro Heyelan	22,25	65	10	0,1605	0,5	28	0	0,5064
EVT-765487	2026-06-03T19:00:47.215462400	NODE-001	Alanya Doðu	Ani Yaðýþ	23,7	65	10	0,0632	0,5	28	0	0,6439
